,cust_id,sex,area,birthyr,hh_income,age,marital,ranseq,signup_date
76,B100066555,F,seoul,1980,86000,41,扁去,76,2017-05-06 11:11:27.243860
77,B100027730,F,seoul,1976,86000,45,扁去,77,2016-12-15 11:11:27.243860
78,B100094430,M,seoul,1995,43000,26,固去,78,2019-02-12 11:11:27.243860
79,B100011885,F,seoul,1993,71000,28,固去,79,2018-04-07 11:11:27.243860
80,B100040540,M,gyunggi,1987,25000,34,扁去,80,2017-04-19 11:11:27.243860
81,B100026799,M,inchon,1989,70000,32,固去,81,2019-03-12 11:11:27.243860
82,B100004302,M,seoul,1989,48000,32,固去,82,2019-09-28 11:11:27.243860
83,B100025786,F,inchon,1996,48000,25,扁去,83,2018-12-08 11:11:27.243860
84,B100099294,F,seoul,1963,26000,58,扁去,84,2020-07-08 11:11:27.243860
85,B100091849,M,seoul,1982,88000,39,扁去,85,2017-08-17 11:11:27.243860
86,B100057102,M,seoul,1999,83000,22,固去,86,2018-12-11 11:11:27.243860
87,B100048012,M,seoul,1993,23000,28,固去,87,2019-06-03 11:11:27.243860
88,B100098548,F,gyunggi,1981,43000,40,扁去,88,2019-11-02 11:11:27.243860
89,B100093502,F,seoul,1986,66000,35,固去,89,2019-08-31 11:11:27.243860
90,B100020804,M,seoul,1979,28000,42,扁去,90,2017-11-20 11:11:27.243860
91,B100012853,M,gyunggi,1982,75000,39,扁去,91,2016-05-07 11:11:27.243860
92,B100010655,F,seoul,1996,26000,25,扁去,92,2017-01-30 11:11:27.243860
93,B100058611,M,gyunggi,1989,80000,32,固去,93,2017-11-13 11:11:27.243860
94,B100089513,F,seoul,1989,81000,32,固去,94,2017-04-01 11:11:27.243860
95,B100076443,M,inchon,1965,85000,56,扁去,95,2019-11-24 11:11:27.243860
96,B100058397,F,seoul,1995,26000,26,固去,96,2019-07-09 11:11:27.243860
97,B100026130,F,seoul,1992,49000,29,固去,97,2019-12-05 11:11:27.243860
98,B100047987,F,inchon,1994,63000,27,固去,98,2019-06-27 11:11:27.243860
99,B100024088,F,seoul,1998,54000,23,固去,99,2018-10-14 11:11:27.243860
100,B100007110,M,inchon,1989,20000,32,固去,100,2020-08-28 11:11:27.243860
101,B100083399,M,inchon,1997,40000,24,固去,101,2019-07-28 11:11:27.243860
102,B100093500,F,seoul,1992,21000,29,固去,102,2019-04-25 11:11:27.243860
103,B100066647,F,gyunggi,1965,73000,56,扁去,103,2019-03-07 11:11:27.243860
104,B100079092,M,inchon,1995,20000,26,固去,104,2018-10-09 11:11:27.243860
105,B100063457,M,inchon,1981,45000,40,扁去,105,2019-06-09 11:11:27.243860
106,B100011647,F,gyunggi,1995,23000,26,固去,106,2019-10-13 11:11:27.243860
107,B100040615,M,seoul,1985,48000,36,固去,107,2019-08-07 11:11:27.243860
108,B100096209,F,inchon,1999,73000,22,固去,108,2019-03-21 11:11:27.243860
109,B100004955,M,inchon,1990,60000,31,固去,109,2018-12-08 11:11:27.243860
110,B100023788,M,gyunggi,1980,45000,41,扁去,110,2016-04-11 11:11:27.243860
111,B100090803,M,inchon,1981,53000,40,扁去,111,2020-05-03 11:11:27.243860
112,B100041998,F,seoul,1997,86000,24,固去,112,2017-11-30 11:11:27.243860
113,B100083998,M,gyunggi,1990,80000,31,扁去,113,2017-10-15 11:11:27.243860
114,B100067646,M,seoul,1967,68000,54,固去,114,2018-09-26 11:11:27.243860
115,B100091752,M,gyunggi,1986,25000,35,扁去,115,2018-07-19 11:11:27.243860
116,B100099259,F,seoul,1995,26000,26,固去,116,2017-05-30 11:11:27.243860
117,B100015323,F,gangwon,1987,68000,34,扁去,117,2017-03-14 11:11:27.243860
118,B100023212,F,gyunggi,1978,23000,43,扁去,118,2019-04-19 11:11:27.243860
119,B100081217,F,seoul,1999,56000,22,固去,119,2018-08-12 11:11:27.243860
120,B100076671,F,inchon,1990,38000,31,固去,120,2019-02-07 11:11:27.243860
121,B100066240,F,seoul,1993,51000,28,固去,121,2016-03-03 11:11:27.243860
122,B100089958,F,seoul,1980,46000,41,扁去,122,2017-04-16 11:11:27.243860
123,B100026036,M,seoul,1996,51000,25,固去,123,2017-02-05 11:11:27.243860
124,B100054312,M,inchon,1991,80000,30,固去,124,2018-11-25 11:11:27.243860
125,B100046512,M,seoul,1994,63000,27,固去,125,2018-01-05 11:11:27.243860
126,B100027799,F,gyunggi,1986,48000,35,扁去,126,2016-01-20 11:11:27.243860
127,B100041339,F,seoul,1996,54000,25,固去,127,2017-03-12 11:11:27.243860
128,B100019260,M,gangwon,1987,45000,34,固去,128,2019-04-25 11:11:27.243860
129,B100037600,F,gyunggi,1993,18000,28,固去,129,2018-05-23 11:11:27.243860
130,B100098112,F,seoul,1992,51000,29,固去,130,2017-05-17 11:11:27.243860
131,B100013861,M,seoul,1970,28000,51,扁去,131,2019-08-29 11:11:27.243860
132,B100023143,M,seoul,1992,53000,29,固去,132,2018-07-18 11:11:27.243860
133,B100095935,M,seoul,1983,58000,38,扁去,133,2016-11-01 11:11:27.243860
134,B100087040,F,seoul,1966,26000,55,扁去,134,2018-02-24 11:11:27.243860
135,B100043978,M,seoul,1990,48000,31,固去,135,2019-02-28 11:11:27.243860
136,B100082776,M,seoul,1992,43000,29,固去,136,2018-04-01 11:11:27.243860
137,B100086686,F,seoul,1991,81000,30,固去,137,2017-06-15 11:11:27.243860
138,B100077283,M,gyunggi,1966,65000,55,扁去,138,2018-09-17 11:11:27.243860
139,B100060711,F,gyunggi,1993,46000,28,固去,139,2018-12-29 11:11:27.243860
140,B100094380,F,gyunggi,1988,23000,33,扁去,140,2016-09-05 11:11:27.243860
141,B100024823,M,seoul,1988,68000,33,扁去,141,2016-05-14 11:11:27.243860
142,B100055033,M,seoul,1990,73000,31,固去,142,2019-05-18 11:11:27.243860
143,B100018812,F,seoul,1991,71000,30,固去,143,2019-12-06 11:11:27.243860
144,B100011259,M,inchon,1970,50000,51,扁去,144,2018-12-15 11:11:27.243860
145,B100025549,F,seoul,1989,21000,32,固去,145,2017-07-22 11:11:27.243860
146,B100051939,F,gangwon,1994,53000,27,扁去,146,2020-10-25 11:11:27.243860
147,B100098541,F,seoul,1991,49000,30,固去,147,2016-01-11 11:11:27.243860
148,B100051210,M,gyunggi,1982,75000,39,扁去,148,2019-11-24 11:11:27.243860
149,B100032391,M,inchon,1984,85000,37,固去,149,2018-05-26 11:11:27.243860
150,B100075092,M,gyunggi,1990,40000,31,固去,150,2018-01-29 11:11:27.243860
151,B100053214,F,inchon,1976,53000,45,扁去,151,2016-01-20 11:11:27.243860
152,B100077741,F,gyunggi,1988,51000,33,固去,152,2018-01-14 11:11:27.243860
153,B100068993,F,gyunggi,1988,43000,33,固去,153,2016-02-24 11:11:27.243860
154,B100040957,M,gyunggi,1986,25000,35,扁去,154,2018-12-08 11:11:27.243860
155,B100046327,M,gyunggi,1982,85000,39,扁去,155,2019-06-05 11:11:27.243860
156,B100073086,F,gyunggi,1985,53000,36,扁去,156,2019-02-18 11:11:27.243860
157,B100038363,F,gyunggi,1985,68000,36,扁去,157,2018-01-22 11:11:27.243860
158,B100084174,F,gyunggi,1964,23000,57,扁去,158,2018-08-05 11:11:27.243860
159,B100071019,F,inchon,1962,73000,59,扁去,159,2019-03-08 11:11:27.243860
160,B100044365,M,seoul,1968,58000,53,扁去,160,2019-08-22 11:11:27.243860
161,B100035222,F,seoul,1996,46000,25,固去,161,2019-01-11 11:11:27.243860
162,B100013730,F,gyunggi,1974,43000,47,扁去,162,2020-09-02 11:11:27.243860
163,B100074991,M,gyunggi,1987,65000,34,固去,163,2016-03-29 11:11:27.243860
164,B100034819,F,gangwon,1968,73000,53,扁去,164,2017-12-25 11:11:27.243860
165,B100051935,M,inchon,1995,65000,26,固去,165,2019-08-13 11:11:27.243860
166,B100000318,F,gangwon,1980,23000,41,扁去,166,2018-09-14 11:11:27.243860
167,B100060363,M,seoul,1991,51000,30,固去,167,2016-12-11 11:11:27.243860
168,B100033226,M,seoul,1983,28000,38,扁去,168,2016-12-22 11:11:27.243860
169,B100023283,F,inchon,1985,43000,36,扁去,169,2019-06-15 11:11:27.243860
170,B100026614,M,gyunggi,1994,48000,27,固去,170,2017-10-18 11:11:27.243860
171,B100040063,M,seoul,1990,83000,31,固去,171,2017-10-22 11:11:27.243860
172,B100095648,F,seoul,1964,71000,57,扁去,172,2017-10-25 11:11:27.243860
173,B100024150,M,seoul,1989,53000,32,固去,173,2016-08-05 11:11:27.243860
174,B100045614,M,gangwon,1991,60000,30,固去,174,2016-06-21 11:11:27.243860
175,B100061514,F,inchon,1994,68000,27,固去,175,2016-06-16 11:11:27.243860
176,B100099794,F,gyunggi,1961,23000,60,扁去,176,2018-11-20 11:11:27.243860
177,B100095372,M,inchon,1990,45000,31,固去,177,2019-07-16 11:11:27.243860
178,B100057219,M,gyunggi,1964,53000,57,扁去,178,2017-11-17 11:11:27.243860
179,B100076136,F,seoul,1977,51000,44,扁去,179,2018-12-30 11:11:27.243860
180,B100047599,F,seoul,1994,86000,27,固去,180,2018-01-12 11:11:27.243860
181,B100044494,M,seoul,1983,68000,38,扁去,181,2020-07-22 11:11:27.243860
182,B100037222,M,gyunggi,1978,50000,43,扁去,182,2016-10-30 11:11:27.243860
183,B100021941,M,inchon,1966,75000,55,扁去,183,2017-08-06 11:11:27.243860
184,B100054983,F,gyunggi,1982,53000,39,扁去,184,2016-12-16 11:11:27.243860
185,B100044445,M,gyunggi,1991,45000,30,扁去,185,2017-05-28 11:11:27.243860
186,B100074705,F,gyunggi,1995,43000,26,固去,186,2018-12-24 11:11:27.243860
187,B100007432,M,inchon,1990,20000,31,固去,187,2020-04-18 11:11:27.243860
188,B100022289,M,seoul,1994,23000,27,扁去,188,2019-01-15 11:11:27.243860
189,B100028570,M,seoul,1990,68000,31,固去,189,2018-09-12 11:11:27.243860
190,B100058121,M,seoul,1993,63000,28,固去,190,2016-06-08 11:11:27.243860
191,B100028435,F,gyunggi,1992,18000,29,扁去,191,2020-09-03 11:11:27.243860
192,B100031271,M,gangwon,1996,40000,25,固去,192,2018-12-08 11:11:27.243860
193,B100099512,M,gyunggi,1976,50000,45,扁去,193,2019-05-31 11:11:27.243860
194,B100084010,M,inchon,1982,45000,39,扁去,194,2018-10-20 11:11:27.243860
195,B100086810,F,seoul,2000,56000,21,固去,195,2019-01-26 11:11:27.243860
196,B100079486,M,gyunggi,1978,45000,43,扁去,196,2017-08-04 11:11:27.243860
197,B100081342,M,gyunggi,1982,50000,39,扁去,197,2018-12-30 11:11:27.243860
198,B100084614,F,seoul,1991,71000,30,固去,198,2017-07-06 11:11:27.243860
199,B100009052,M,seoul,1991,48000,30,固去,199,2017-05-20 11:11:27.243860
200,B100088511,F,seoul,1991,21000,30,扁去,200,2018-12-09 11:11:27.243860
201,B100039639,M,gangwon,1980,65000,41,扁去,201,2018-11-09 11:11:27.243860
202,B100023001,M,seoul,1993,73000,28,固去,202,2016-01-08 11:11:27.243860
203,B100047024,M,gyunggi,1990,20000,31,扁去,203,2019-05-03 11:11:27.243860
204,B100038272,F,seoul,1990,81000,31,固去,204,2018-12-19 11:11:27.243860
205,B100065989,F,inchon,1996,23000,25,固去,205,2020-05-22 11:11:27.243860
206,B100016403,M,gyunggi,1997,80000,24,固去,206,2016-05-27 11:11:27.243860
207,B100075668,F,gangwon,1994,43000,27,固去,207,2018-08-30 11:11:27.243860
208,B100034330,F,gyunggi,1963,53000,58,扁去,208,2019-08-14 11:11:27.243860
209,B100022862,F,seoul,1962,86000,59,扁去,209,2018-10-30 11:11:27.243860
210,B100089015,M,inchon,1992,80000,29,固去,210,2018-05-18 11:11:27.243860
211,B100076435,F,gangwon,1998,23000,23,固去,211,2018-12-28 11:11:27.243860
212,B100043400,F,gyunggi,1979,48000,42,扁去,212,2016-01-19 11:11:27.243860
213,B100030869,F,seoul,1988,56000,33,固去,213,2017-02-20 11:11:27.243860
214,B100048905,M,seoul,1983,78000,38,扁去,214,2016-04-13 11:11:27.243860
215,B100069488,F,seoul,1985,26000,36,扁去,215,2018-10-27 11:11:27.243860
216,B100088865,F,seoul,1993,51000,28,固去,216,2020-03-21 11:11:27.243860
217,B100065925,F,seoul,1995,86000,26,固去,217,2017-07-26 11:11:27.243860
218,B100031232,M,gyunggi,1991,70000,30,固去,218,2019-06-01 11:11:27.243860
219,B100023444,M,gyunggi,1986,65000,35,固去,219,2017-07-13 11:11:27.243860
220,B100013163,F,gyunggi,1994,23000,27,固去,220,2019-08-03 11:11:27.243860
221,B100013562,F,gangwon,1964,73000,57,扁去,221,2017-12-18 11:11:27.243860
222,B100017154,F,gyunggi,1992,43000,29,固去,222,2019-01-10 11:11:27.243860
223,B100035072,F,seoul,1975,54000,46,扁去,223,2019-05-17 11:11:27.243860
224,B100091474,F,seoul,1991,81000,30,固去,224,2018-12-11 11:11:27.243860
225,B100000762,F,seoul,1986,56000,35,扁去,225,2019-10-23 11:11:27.243860
226,B100052610,M,seoul,1991,23000,30,固去,226,2017-07-31 11:11:27.243860
227,B100054608,M,gangwon,1983,53000,38,扁去,227,2016-10-08 11:11:27.243860
228,B100029579,F,seoul,1978,71000,43,扁去,228,2016-11-04 11:11:27.243860
229,B100063877,M,seoul,1969,58000,52,扁去,229,2018-01-26 11:11:27.243860
230,B100081465,F,seoul,1992,51000,29,扁去,230,2019-07-21 11:11:27.243860
231,B100092545,F,gyunggi,1962,51000,59,扁去,231,2019-02-11 11:11:27.243860
232,B100068194,M,seoul,1983,28000,38,扁去,232,2018-11-17 11:11:27.243860
233,B100004304,M,gyunggi,1987,65000,34,固去,233,2017-03-03 11:11:27.243860
234,B100013640,M,inchon,1986,65000,35,扁去,234,2018-04-05 11:11:27.243860
235,B100093055,M,gyunggi,1988,75000,33,扁去,235,2017-10-23 11:11:27.243860
236,B100086548,F,gyunggi,1982,83000,39,扁去,236,2016-06-19 11:11:27.243860
237,B100095469,M,inchon,1990,40000,31,固去,237,2019-01-30 11:11:27.243860
238,B100079866,F,gyunggi,1965,73000,56,扁去,238,2016-05-18 11:11:27.243860
239,B100090341,M,gyunggi,1987,45000,34,扁去,239,2020-06-11 11:11:27.243860
240,B100060277,F,seoul,1980,54000,41,扁去,240,2017-11-27 11:11:27.243860
241,B100008117,M,gangwon,1980,53000,41,扁去,241,2016-08-06 11:11:27.243860
242,B100065022,M,seoul,1991,23000,30,扁去,242,2019-05-23 11:11:27.243860
243,B100029689,M,inchon,1994,20000,27,固去,243,2017-04-14 11:11:27.243860
244,B100096912,F,seoul,1994,56000,27,固去,244,2020-06-11 11:11:27.243860
245,B100084377,F,gangwon,1991,18000,30,扁去,245,2016-11-08 11:11:27.243860
246,B100004868,F,seoul,1984,54000,37,扁去,246,2019-08-07 11:11:27.243860
247,B100044830,F,seoul,1980,86000,41,固去,247,2017-08-14 11:11:27.243860
248,B100099285,F,gyunggi,1992,58000,29,固去,248,2018-09-30 11:11:27.243860
249,B100090381,F,gyunggi,1986,51000,35,扁去,249,2016-07-27 11:11:27.243860
250,B100052075,F,gyunggi,1993,48000,28,固去,250,2017-11-05 11:11:27.243860
251,B100004068,M,gangwon,1994,20000,27,扁去,251,2019-11-02 11:11:27.243860
252,B100088096,F,gyunggi,1993,78000,28,固去,252,2016-04-17 11:11:27.243860
253,B100071433,F,seoul,1990,71000,31,固去,253,2019-07-15 11:11:27.243860
254,B100043859,M,seoul,1989,63000,32,固去,254,2019-08-06 11:11:27.243860
255,B100088019,M,gyunggi,1990,65000,31,固去,255,2019-02-15 11:11:27.243860
256,B100046300,M,gangwon,1989,60000,32,固去,256,2019-02-07 11:11:27.243860
257,B100053219,F,inchon,1999,83000,22,固去,257,2018-01-27 11:11:27.243860
258,B100090412,F,inchon,1979,48000,42,扁去,258,2016-08-28 11:11:27.243860
259,B100011459,M,seoul,1969,68000,52,扁去,259,2016-06-04 11:11:27.243860
260,B100021333,F,gyunggi,1992,68000,29,固去,260,2017-02-20 11:11:27.243860
261,B100030605,M,gangwon,1976,85000,45,固去,261,2020-03-13 11:11:27.243860
262,B100036300,M,seoul,1988,28000,33,扁去,262,2019-12-22 11:11:27.243860
263,B100088620,F,seoul,1981,26000,40,扁去,263,2018-12-24 11:11:27.243860
264,B100001848,F,inchon,1999,23000,22,固去,264,2019-02-09 11:11:27.243860
265,B100041475,F,seoul,1997,71000,24,固去,265,2017-03-15 11:11:27.243860
266,B100091792,F,gyunggi,1980,83000,41,扁去,266,2016-01-26 11:11:27.243860
267,B100041479,F,gyunggi,1984,48000,37,扁去,267,2018-11-21 11:11:27.243860
268,B100087786,F,seoul,1994,56000,27,固去,268,2017-11-10 11:11:27.243860
269,B100006039,M,gangwon,1980,25000,41,扁去,269,2019-04-13 11:11:27.243860
270,B100022036,F,gyunggi,1973,43000,48,扁去,270,2016-07-20 11:11:27.243860
271,B100039756,M,seoul,1992,48000,29,固去,271,2019-07-17 11:11:27.243860
272,B100080950,M,gyunggi,1984,55000,37,扁去,272,2019-01-20 11:11:27.243860
273,B100086106,M,inchon,1991,50000,30,固去,273,2017-11-19 11:11:27.243860
274,B100023755,M,seoul,1989,83000,32,固去,274,2017-02-20 11:11:27.243860
275,B100033620,M,inchon,1983,65000,38,固去,275,2018-11-25 11:11:27.243860
276,B100080379,M,inchon,1989,50000,32,固去,276,2017-10-17 11:11:27.243860
277,B100064793,M,seoul,1985,56000,36,扁去,277,2018-09-23 11:11:27.243860
278,B100011504,M,gangwon,1990,60000,31,扁去,278,2016-02-28 11:11:27.243860
279,B100068674,M,seoul,1992,43000,29,固去,279,2016-05-14 11:11:27.243860
280,B100026743,M,seoul,1966,28000,55,扁去,280,2019-10-18 11:11:27.243860
281,B100025726,F,inchon,1996,23000,25,扁去,281,2017-05-01 11:11:27.243860
282,B100070298,M,seoul,1993,63000,28,固去,282,2019-02-01 11:11:27.243860
283,B100028177,M,seoul,1980,28000,41,扁去,283,2017-02-22 11:11:27.243860
284,B100038315,F,gyunggi,1987,48000,34,固去,284,2018-09-18 11:11:27.243860
285,B100015352,F,gangwon,1977,63000,44,扁去,285,2019-01-16 11:11:27.243860
286,B100000224,F,inchon,1996,73000,25,固去,286,2019-03-24 11:11:27.243860
287,B100012675,M,gyunggi,1991,20000,30,扁去,287,2019-05-08 11:11:27.243860
288,B100040359,F,gangwon,1993,58000,28,固去,288,2020-05-09 11:11:27.243860
289,B100015882,F,gyunggi,1975,83000,46,固去,289,2017-12-26 11:11:27.243860
290,B100064880,M,inchon,1982,25000,39,扁去,290,2019-07-22 11:11:27.243860
291,B100028537,M,gangwon,1992,70000,29,固去,291,2018-09-19 11:11:27.243860
292,B100090905,M,inchon,1968,25000,53,扁去,292,2019-06-27 11:11:27.243860
293,B100002449,M,seoul,1985,73000,36,扁去,293,2018-07-04 11:11:27.243860
294,B100064290,F,seoul,1994,26000,27,固去,294,2020-03-08 11:11:27.243860
295,B100041836,F,inchon,1980,23000,41,扁去,295,2020-02-04 11:11:27.243860
296,B100012735,M,seoul,1990,23000,31,固去,296,2018-11-26 11:11:27.243860
297,B100014178,M,gyunggi,1989,20000,32,固去,297,2017-05-14 11:11:27.243860
298,B100054163,F,inchon,1994,23000,27,固去,298,2020-04-25 11:11:27.243860
299,B100037767,M,seoul,1980,28000,41,扁去,299,2017-08-27 11:11:27.243860
300,B100061625,M,seoul,1992,48000,29,固去,300,2020-01-29 11:11:27.243860
301,B100009459,F,inchon,1963,68000,58,扁去,301,2016-07-23 11:11:27.243860
302,B100024960,F,inchon,1992,68000,29,固去,302,2020-08-14 11:11:27.243860
303,B100007790,M,inchon,1981,70000,40,固去,303,2017-10-20 11:11:27.243860
304,B100087684,M,gangwon,1968,45000,53,扁去,304,2019-07-29 11:11:27.243860
305,B100047739,F,gyunggi,1989,18000,32,固去,305,2018-07-20 11:11:27.243860
306,B100078354,M,gangwon,1989,60000,32,固去,306,2018-09-14 11:11:27.243860
307,B100002095,F,gyunggi,1983,73000,38,扁去,307,2019-11-11 11:11:27.243860
308,B100012410,M,seoul,1989,53000,32,固去,308,2019-07-30 11:11:27.243860
309,B100098929,M,inchon,1985,50000,36,扁去,309,2020-03-02 11:11:27.243860
310,B100087121,M,seoul,1990,53000,31,固去,310,2016-07-05 11:11:27.243860
311,B100010503,M,seoul,1987,53000,34,扁去,311,2019-12-08 11:11:27.243860
312,B100081751,M,gangwon,1986,75000,35,固去,312,2019-03-23 11:11:27.243860
313,B100059178,F,gyunggi,1991,48000,30,固去,313,2019-08-30 11:11:27.243860
314,B100082546,M,gyunggi,1980,55000,41,扁去,314,2017-02-03 11:11:27.243860
315,B100079351,M,gyunggi,1982,25000,39,扁去,315,2017-11-02 11:11:27.243860
316,B100005607,M,inchon,1993,70000,28,固去,316,2018-01-19 11:11:27.243860
317,B100056112,F,gyunggi,1989,68000,32,固去,317,2019-02-10 11:11:27.243860
318,B100015436,F,seoul,1992,46000,29,固去,318,2019-05-24 11:11:27.243860
319,B100048013,F,gangwon,1992,18000,29,固去,319,2018-04-18 11:11:27.243860
320,B100053478,M,seoul,1994,73000,27,固去,320,2017-04-02 11:11:27.243860
321,B100094153,F,seoul,1990,61000,31,固去,321,2017-10-17 11:11:27.243860
